"시점","범죄별(1)","자치구별(1)","자치구별(2)",항목,데이터
"2023","합계","합계","소계",발생,86213
"2023","합계","합계","종로구",발생,2981
"2023","합계","합계","중구",발생,3348
"2023","합계","합계","용산구",발생,3021
"2023","합계","합계","성동구",발생,2023
"2023","합계","합계","광진구",발생,3424
"2023","합계","합계","동대문구",발생,2957
"2023","합계","합계","중랑구",발생,3324
"2023","합계","합계","성북구",발생,2411
"2023","합계","합계","강북구",발생,2497
"2023","합계","합계","도봉구",발생,1921
"2023","합계","합계","노원구",발생,3567
"2023","합계","합계","은평구",발생,3493
"2023","합계","합계","서대문구",발생,2385
"2023","합계","합계","마포구",발생,3834
"2023","합계","합계","양천구",발생,3019
"2023","합계","합계","강서구",발생,4296
"2023","합계","합계","구로구",발생,3737
"2023","합계","합계","금천구",발생,2240
"2023","합계","합계","영등포구",발생,4418
"2023","합계","합계","동작구",발생,2642
"2023","합계","합계","관악구",발생,4769
"2023","합계","합계","서초구",발생,4522
"2023","합계","합계","강남구",발생,6763
"2023","합계","합계","송파구",발생,5223
"2023","합계","합계","강동구",발생,3398
