"시점","항목",성별 연령별,성별 연령별,성별 연령별,성별 연령별,성별 연령별,성별 연령별
"시점","항목",남자,남자,남자,여자,여자,여자
"시점","항목",10대,20대,30대,10대,20대,30대
"2024","걷기(속보 포함)",9.3,9.7,13.6,37.4,19.7,23.4
"2024","보디빌딩 (헬스)",3,33.7,32.5,1.8,15.2,15.9
"2024","요가, 필라테스, 태보",0,0,1.1,4.5,28.7,31.8
"2024","등산",0,0.7,3.1,1,1.6,0.4
"2024","수영",0.9,4.6,4.8,2.3,8.7,8.1
"2024","골프 (그라운드, 파크 포함)",0.1,0.4,6.6,0,0,3.4
"2024","축구, 풋살",25,8,5.8,0.8,0.2,0.3
"2024","자전거,사이클, 산악자전거",6.4,3.1,4.2,1.5,2.4,2.2
"2024","농구",34.7,11,1.6,3.7,0.2,0.2
"2024","배드민턴",3.4,2.4,1.3,10.6,1.4,1.8
"2024","달리기(조깅,마라톤 포함)",2.4,4,3.3,3,3.2,2.8
"2024","탁구",1.2,0.8,2.5,2.2,1,0.3
"2024","테니스",0.6,3.1,3,0,3.5,3.2
"2024","줄넘기",0.8,0.4,0,11.3,1.8,0.5
"2024","족구",0.6,0.3,0.7,0.9,0,0
"2024","야구",0.6,1.3,1.6,0,0,0.2
"2024","아쿠아로빅, 수중발레",0,0,0,0,0,0
"2024","암벽등반",0,0.8,1.5,0,0.6,0.2
"2024","킥복싱",1.3,0.7,0.8,0,0.5,0.2
"2024","권투",0,0.3,0.1,0,1.5,0.4
"2024","스노우보드, 스키",0.1,0.5,0,0.2,0.2,0
"2024","스쿼시",0,0.2,0,0,0,0
"2024","유도",0.2,0.1,0.1,0,0,0
